freed,theorem,family_suffix,choice_free_siblings
2,brdom6disj,disj,0disj 2ndcdisj 2ndcdisj2 2wspdisj 2wspiundisj 2wspmdisj actfunsnrndisj bj-ccinftydisj bj-inftyexpidisj bj-inftyexpitaudisj bldisj cbvdisj clddisj clsndisj clwwlknondisj conndisj cshwsdisj cvmsdisj dfdisj2 dfeldisj2 dfeldisj3 dfeldisj4 dfeldisj5 disjresdisj djudisj dpjdisj dprddisj dprddisj2 dyaddisj dyaddisjlem eldisjlem19 eldisjsdisj eleldisjseldisj elneldisj endisj endjudisj eqvreldisj eqvreldisj1 eqvreldisj2 eqvreldisj3 eqvreldisj4 eqvreldisj5 eqvrelqseqdisj2 eqvrelqseqdisj3 eqvrelqseqdisj4 eqvrelqseqdisj5 erdisj fimacnvdisj fmlasucdisj fnimadisj fnresdisj fzdisj fzodisj fzouzdisj fzp1disj fzpreddisj iccdisj iccdisj2 iccpartdisj icodisj imadisj invdisj ioodisj ioondisj1 ioondisj2 iundisj iundisj2 iunmapdisj ixxdisj kqdisj lshpdisj lsmdisj lsmdisj2 lsmdisj3 lspdisj lspdisj2 mfsdisj ndisj ndisj2 neindisj neindisj2 nfdisj nfdisj1 nn0disj nn0disj01 nnuzdisj onxpdisj opndisj orddisj otiunsndisj otsndisj predisj qsdisj qsdisj2 reldisj renfdisj resdisj s3iunsndisj s3sndisj saddisj saddisjlem sepdisj sltsdisj sndisj ssdisj subgdisj1 subgdisj2 suceldisj swrdrndisj undisj1 undisj2 uzdisj xp01disj xpdisj1 xpdisj2 xpsndisj
2,caragenunicl,unicl,elpwunicl fiunicl salunicl
2,cardsdom,ardsdom,cardsdom2 kardsdom
2,carsgclctun,arsgclctun,carsgclctunlem1
2,cfpwsdom,sdom,0sdom 1sdom 1sdom2 1sdom2ALT alephsdom ballotlemsdom brsdom brsdom2 cardsdom2 dfsdom2 enssdom enssdomOLD fincssdom fzsdom2 harsdom hashsdom infunsdom infunsdom1 kardsdom lindsdom nnsdom onsdom r1sdom relsdom tsksdom
2,cnmbfm,nmbfm,elunirnmbfm isanmbfm
2,constrext2chnlem,ext2chn,
2,constrextdg2lem,,
2,cos9thpinconstr,9thpinconstr,cos9thpinconstrlem1
2,cyc3genpmlem,,
